contract_id,clause_text,clause_type,risk_label
C0391,No audit rights are granted under this Agreement.,Audit Rights,risk
C0392,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0393,No reversion of rights is provided under this Agreement.,Reversion,risk
C0394,This Agreement shall be governed by the laws of England and Wales.,Governing Law,no_risk
C0395,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0396,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0397,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0398,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0399,Artist shall receive a royalty of 50% of gross revenue.,Royalties,no_risk
C0400,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0401,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0402,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0403,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0404,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0405,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0406,The parties submit to the exclusive jurisdiction of the courts of South Africa.,Governing Law,no_risk
C0407,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0408,Artist shall receive a royalty of 30% of gross revenue.,Royalties,no_risk
C0409,The Territory shall be West Africa.,Territory,no_risk
C0410,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0411,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0412,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0413,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0414,This Agreement shall be governed by the laws of Kenya.,Governing Law,no_risk
C0415,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0416,No royalties are payable on promotional copies.,Royalties,no_risk
C0417,No royalties are payable on promotional copies.,Royalties,no_risk
C0418,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0419,This Agreement shall be governed by the laws of South Africa.,Governing Law,no_risk
C0420,Rights are worldwide and exclusive.,Territory,risk
